image_id,panel_suffix,visualization_category,visualization_subtype,image_path,caption,summary
ceramics_prod_img37464,B,Mechanical Test,Stress-Strain Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img37464_B.jpg,"Shear stress-strain curves for 3D-printed Ti6Al4V thoracic fusion cages, highlighting the influence of different reinforced scaffold volume ratios on mechanical behavior.","Shear stress-strain curves are presented for 3D-printed Ti6Al4V thoracic fusion cages. These plots demonstrate the mechanical performance of samples with and without reinforced scaffolds. The results indicate that the inclusion of scaffolds enhances the shear strength of the fusion cages, although it slightly affects the overall shear ductility."
ceramics_prod_img67212,A,Spectroscopy,EELS Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img67212_A.jpg,"Carbon and nitrogen K-edge EELS spectra of ABS polymer subjected to increasing electron doses of 5, 53, 190, and 312 e/Å², with an inset showing the constant Cπ*/Cσ* intensity ratio versus accumulated dose.","The carbon and nitrogen K-edge EELS spectra for ABS show a significant reduction in both pre-peak and main peak intensities as the electron dose increases from 5 to 312 e/Å². The inset confirms that the Cπ*/Cσ* ratio remains constant, indicating that the spectral features decrease following the same trend."
ceramics_prod_img42745,B,Generic Plot,Histogram,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img42745_B.jpg,"Frequency distribution histogram of GND values for the LPBF specimen, indicating a value of 1.1 × 10^14 m^-2.","This histogram quantifies the GND value distribution for the LPBF specimen. The data reveals a high dislocation density, with a characteristic GND value of 1.1 × 10^14 m^-2. This high value reflects the significant residual stresses and dislocation formation inherent to the LPBF manufacturing process for this superalloy."
ceramics_prod_img33667,C,Electrochemistry,Nyquist Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img33667_C.jpg,Nyquist plots derived from electrochemical impedance spectroscopy (EIS) measurements.,"Electrochemical impedance spectroscopy (EIS) tests were performed to analyze the interfacial properties of the material. Panel (c) presents the resulting Nyquist plots, which visualize the impedance behavior and provide the necessary data to model the electrochemical interface and understand the underlying corrosion mechanisms occurring at the surface."
ni_alloy_img4271,B,Phase/Equilibrium Diagram,CALPHAD Diagram,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img4271_B.jpg,"Critical temperature landscape for the α-phase in the Fe–Cr–Ni system, illustrating the localized singularities and cusps that complicate numerical analysis.","Representing the α-phase critical temperatures in the Fe–Cr–Ni system, this plot demonstrates the occurrence of numerical singularities and cusps. These features are identified as significant challenges in the computational modeling of the system, reflecting the complex thermodynamic interactions that define the phase boundaries and stability regions for this specific phase."
composite_img39066,single,Mechanical Test,Load-Displacement Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img39066_single.jpg,"Comparison of compressive force–displacement results for four lattice structures with varying beam diameters (D), evaluating FE full-geometry simulation (SIM), homogenized model (HOM), and experimental (EXP) data.","This figure presents a comparative analysis of compressive force–displacement behavior across four lattice structures with varying beam diameters. It evaluates the accuracy of FE full-geometry simulations and homogenized model predictions against experimental measurements. The results demonstrate strong agreement in reaction forces and nodal displacements, confirming the validity of the computational models."
ni_alloy_img10852,C,Simulation,DFT Result,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img10852_C.jpg,"Shear modulus mismatch parameter |δGi| as a function of Mo content, illustrating the relative influence of constituent elements.","This plot illustrates the shear modulus mismatch |δGi| relative to Mo content. The model predicts that the contributions to shear modulus mismatch from Mo and Zr are several times greater than those from Hf, Ta, Ti, and Nb, emphasizing the significant role of these specific elements in modulating elastic properties."
ceramics_prod_img66437,B,Optical/Photonic,Refractive Index Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img66437_B.jpg,"Depth-dependent OPD profiles averaged over a 150 µm lateral ROI, showing the evolution of the OPD gradient relative to the surface over time.","The OPD changes at various depths are averaged over a 150 µm lateral region of interest. This plot tracks the depth gradient of the OPD relative to the surface over time, providing a quantitative measure of the optical variations occurring within the powder bed as the droplet interacts with the material."
ni_alloy_img4129,C,Simulation,MD Snapshot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img4129_C.jpg,"Atomic structure of the LowIndex-2 interface, illustrating an incoherent interface where the majority of fcc Al atoms (red) lack matching counterparts in the Al3Ni lattice.","The LowIndex-2 interface displays an incoherent atomic structure, evidenced by the lack of registry between the fcc Al atoms and the Al3Ni phase. Unlike the Pearlite-1 orientation, most Al atoms do not find matching counterparts, which is characteristic of incoherent interfaces with higher atomic mismatch."
composite_img13267,E,Mechanical Test,Creep Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img13267_E.jpg,Creep and recovery response curves showing the effect of the nonlinearity parameter (b) on the predicted mechanical behavior.,"This panel displays the impact of the nonlinearity parameter (b) on the creep and recovery response. By comparing different values of (b) to the black reference line calibrated for untreated PLA at 8 MPa and 27 °C, the plot clarifies how this parameter introduces nonlinear effects into the Burgers model."
