path,width,height,mode,format
..\data\raw\img10000_single.jpg,1721,1244,RGB,JPEG
..\data\raw\img10001_single.jpg,1720,1286,RGB,JPEG
..\data\raw\img10002_A.jpg,1557,1044,RGB,JPEG
..\data\raw\img10002_B.jpg,1557,1039,RGB,JPEG
..\data\raw\img10002_C.jpg,1570,1050,RGB,JPEG
..\data\raw\img10003_single.jpg,1720,1274,RGB,JPEG
..\data\raw\img10004_A.jpg,1290,936,RGB,JPEG
..\data\raw\img10004_B.jpg,1250,950,RGB,JPEG
..\data\raw\img10004_C.jpg,1252,876,RGB,JPEG
..\data\raw\img10004_D.jpg,1251,877,RGB,JPEG
..\data\raw\img10004_E.jpg,1301,916,RGB,JPEG
..\data\raw\img10004_F.jpg,1288,928,RGB,JPEG
..\data\raw\img10005_A.jpg,1333,927,RGB,JPEG
..\data\raw\img10005_B.jpg,1272,944,RGB,JPEG
..\data\raw\img10005_C.jpg,1309,956,RGB,JPEG
..\data\raw\img10005_D.jpg,1269,954,RGB,JPEG
..\data\raw\img10006_single.jpg,2960,1576,RGB,JPEG
..\data\raw\img10007_single.jpg,2364,3120,RGB,JPEG
..\data\raw\img10008_A.jpg,1485,840,RGB,JPEG
..\data\raw\img10008_B.jpg,1424,998,RGB,JPEG
..\data\raw\img10008_C.jpg,931,854,RGB,JPEG
..\data\raw\img10008_D.jpg,932,873,RGB,JPEG
..\data\raw\img10009_A.jpg,1525,1102,RGB,JPEG
..\data\raw\img10009_B.jpg,1504,1107,RGB,JPEG
..\data\raw\img10009_C.jpg,2924,1288,RGB,JPEG
..\data\raw\img1000_single.jpg,2331,2310,RGB,JPEG
..\data\raw\img10010_A.jpg,1165,899,RGB,JPEG
..\data\raw\img10010_B.jpg,1171,908,RGB,JPEG
..\data\raw\img10010_C.jpg,1162,900,RGB,JPEG
..\data\raw\img10010_D.jpg,1162,904,RGB,JPEG
..\data\raw\img10010_D_2.jpg,1973,1129,RGB,JPEG
..\data\raw\img10011_A.jpg,1516,1093,RGB,JPEG
..\data\raw\img10011_B.jpg,1517,1108,RGB,JPEG
..\data\raw\img10011_C.jpg,1487,1118,RGB,JPEG
..\data\raw\img10011_D.jpg,1500,1132,RGB,JPEG
..\data\raw\img10011_E.jpg,1487,1118,RGB,JPEG
..\data\raw\img10012_A.jpg,1295,1520,RGB,JPEG
..\data\raw\img10012_B.jpg,1679,1545,RGB,JPEG
..\data\raw\img10012_C.jpg,1733,1601,RGB,JPEG
..\data\raw\img10013_A.jpg,1514,1087,RGB,JPEG
..\data\raw\img10013_B.jpg,1484,1111,RGB,JPEG
..\data\raw\img10013_B_2.jpg,1481,1082,RGB,JPEG
..\data\raw\img10013_C.jpg,1538,1103,RGB,JPEG
..\data\raw\img10013_E.jpg,1538,1087,RGB,JPEG
..\data\raw\img10014_single.jpg,1719,1261,RGB,JPEG
..\data\raw\img10015_B.jpg,1405,1911,RGB,JPEG
..\data\raw\img10016_A.jpg,1134,1140,RGB,JPEG
..\data\raw\img10016_B.jpg,1126,1151,RGB,JPEG
..\data\raw\img10016_C.jpg,1151,1139,RGB,JPEG
..\data\raw\img10016_D.jpg,1129,1132,RGB,JPEG
..\data\raw\img10016_D_2.jpg,1157,1147,RGB,JPEG
..\data\raw\img10016_E.jpg,1103,1142,RGB,JPEG
..\data\raw\img10016_E_2.jpg,1129,1132,RGB,JPEG
..\data\raw\img10016_F.jpg,1157,1147,RGB,JPEG
..\data\raw\img10017_B.jpg,1122,1690,RGB,JPEG
..\data\raw\img10018_B.jpg,1129,1755,RGB,JPEG
..\data\raw\img10019_A.jpg,1502,1388,RGB,JPEG
..\data\raw\img10019_A_2.jpg,1500,1386,RGB,JPEG
..\data\raw\img10019_B.jpg,1500,1386,RGB,JPEG
..\data\raw\img10019_B_2.jpg,1502,1388,RGB,JPEG
..\data\raw\img10019_C.jpg,1168,1102,RGB,JPEG
..\data\raw\img1001_B.jpg,531,508,RGB,JPEG
..\data\raw\img10020_C.jpg,1063,916,RGB,JPEG
..\data\raw\img10020_D.jpg,1121,922,RGB,JPEG
..\data\raw\img10021_A.jpg,1501,1109,RGB,JPEG
..\data\raw\img10021_B.jpg,1499,1114,RGB,JPEG
..\data\raw\img10021_C.jpg,1478,1147,RGB,JPEG
..\data\raw\img10021_D.jpg,1489,1119,RGB,JPEG
..\data\raw\img10022_A.jpg,1255,1004,RGB,JPEG
..\data\raw\img10022_B.jpg,1309,975,RGB,JPEG
..\data\raw\img10022_C.jpg,1310,978,RGB,JPEG
..\data\raw\img10022_D.jpg,1280,982,RGB,JPEG
..\data\raw\img10023_A.jpg,1363,990,RGB,JPEG
..\data\raw\img10023_B.jpg,1369,997,RGB,JPEG
..\data\raw\img10023_C.jpg,1370,989,RGB,JPEG
..\data\raw\img10023_D.jpg,1322,973,RGB,JPEG
