Cluster ID,Size,Compactness,Mean intra-cluster distance,Distance to nearest cluster
1,656,27.901308,27.901308,26.13048
10,373,28.015385,28.015385,21.571243
9,1654,28.46721,28.46721,21.629318
0,26397,28.70144,28.70144,28.883852
2,750,28.862667,28.862667,21.629318
6,399,29.91969,29.91969,26.081234
8,1988,32.49303,32.49303,21.466595
7,1995,34.02776,34.02776,20.71082
4,501,34.68819,34.68819,23.474669
11,8323,34.8565,34.8565,20.71082
5,554,34.917046,34.917046,21.037682
3,725,38.758076,38.758076,23.474669
