image_path,cluster_id,label
..\raw_images\img12065_C.jpg,4,Experimental Equipment
..\raw_images\img5871_B.jpg,11,Metallographic Microstructures
..\raw_images\img770_D.jpg,11,Metallographic Microstructures
..\raw_images\img13287_D.jpg,1,Diffraction Patterns
..\raw_images\img299_D.jpg,0,Scientific Plots & Charts
..\raw_images\img888_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8753_C.jpg,7,SEM Morphology
..\raw_images\img12779_C.jpg,-1,Noise / Mixed
..\raw_images\img2669_single.jpg,0,Scientific Plots & Charts
..\raw_images\img10654_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7276_single.jpg,11,Metallographic Microstructures
..\raw_images\img7298_E.jpg,2,Elemental Mapping
..\raw_images\img793_B.jpg,0,Scientific Plots & Charts
..\raw_images\img4752_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1451_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8621_A.jpg,0,Scientific Plots & Charts
..\raw_images\img3596_A.jpg,0,Scientific Plots & Charts
..\raw_images\img14158_single.jpg,0,Scientific Plots & Charts
..\raw_images\img8703_J.jpg,11,Metallographic Microstructures
..\raw_images\img3539_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1090_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9893_F.jpg,9,Element Distribution Maps
..\raw_images\img3653_B.jpg,11,Metallographic Microstructures
..\raw_images\img8295_C.jpg,7,SEM Morphology
..\raw_images\img14792_single.jpg,0,Scientific Plots & Charts
..\raw_images\img10644_A.jpg,0,Scientific Plots & Charts
..\raw_images\img8428_A.jpg,-1,Noise / Mixed
..\raw_images\img837_A.jpg,11,Metallographic Microstructures
..\raw_images\img14915_A_2.jpg,0,Scientific Plots & Charts
..\raw_images\img5514_B.jpg,0,Scientific Plots & Charts
..\raw_images\img9412_C.jpg,0,Scientific Plots & Charts
..\raw_images\img11512_C.jpg,0,Scientific Plots & Charts
..\raw_images\img2048_A_2.jpg,0,Scientific Plots & Charts
..\raw_images\img7619_C_2.jpg,8,EBSD Maps
..\raw_images\img6629_K.jpg,7,SEM Morphology
..\raw_images\img14572_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7790_C.jpg,-1,Noise / Mixed
..\raw_images\img2180_B.jpg,-1,Noise / Mixed
..\raw_images\img1560_D.jpg,11,Metallographic Microstructures
..\raw_images\img9162_A.jpg,0,Scientific Plots & Charts
..\raw_images\img14693_A.jpg,0,Scientific Plots & Charts
..\raw_images\img10422_A.jpg,11,Metallographic Microstructures
..\raw_images\img7003_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7053_D.jpg,0,Scientific Plots & Charts
..\raw_images\img2653_A.jpg,0,Scientific Plots & Charts
..\raw_images\img8141_D_2.jpg,0,Scientific Plots & Charts
..\raw_images\img5231_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8111_E.jpg,9,Element Distribution Maps
..\raw_images\img7184_E.jpg,0,Scientific Plots & Charts
..\raw_images\img569_B.jpg,0,Scientific Plots & Charts
..\raw_images\img5453_B.jpg,7,SEM Morphology
..\raw_images\img4548_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1107_A.jpg,0,Scientific Plots & Charts
..\raw_images\img6373_B.jpg,-1,Noise / Mixed
..\raw_images\img2712_B_2.jpg,0,Scientific Plots & Charts
..\raw_images\img6010_H_2.jpg,9,Element Distribution Maps
..\raw_images\img15739_F.jpg,-1,Noise / Mixed
..\raw_images\img10118_B.jpg,-1,Noise / Mixed
..\raw_images\img3853_single.jpg,0,Scientific Plots & Charts
..\raw_images\img3708_G.jpg,0,Scientific Plots & Charts
..\raw_images\img3687_single.jpg,0,Scientific Plots & Charts
..\raw_images\img5182_C.jpg,11,Metallographic Microstructures
..\raw_images\img981_B_2.jpg,0,Scientific Plots & Charts
..\raw_images\img12152_C.jpg,0,Scientific Plots & Charts
..\raw_images\img14470_B.jpg,11,Metallographic Microstructures
..\raw_images\img7777_C.jpg,-1,Noise / Mixed
..\raw_images\img14448_single.jpg,0,Scientific Plots & Charts
..\raw_images\img10804_C.jpg,0,Scientific Plots & Charts
..\raw_images\img8111_F.jpg,6,Atomic-Scale Microscopy
..\raw_images\img8942_single.jpg,0,Scientific Plots & Charts
..\raw_images\img3290_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7790_B.jpg,11,Metallographic Microstructures
..\raw_images\img11730_B.jpg,0,Scientific Plots & Charts
